T,den,DG,rate,beta_TS
336.0,2.8000000000000003,-19.413706632828074,100278370.32075202,0.39999999999999997
336.0,2.9000000000000004,-19.613706632828073,100281242.12064818,0.39999999999999997
336.0,3.0,-19.813706632828072,100284114.00278774,0.39999999999999997
336.0,3.1,-20.01370663282807,100286985.96717305,0.39999999999999997
336.0,3.2,-20.21370663282807,100289858.01380649,0.39999999999999997
336.0,3.3000000000000003,-20.413706632828074,100292730.1426904,0.39999999999999997
336.0,3.4000000000000004,-20.613706632828073,100295602.35382713,0.39999999999999997
336.0,3.5,-20.813706632828072,100298474.64721906,0.39999999999999997
336.0,3.6,-21.01370663282807,100301347.0228685,0.39999999999999997
336.0,3.7,-21.21370663282807,100304219.48077786,0.39999999999999997
336.0,3.8000000000000003,-21.413706632828074,100307092.02094945,0.39999999999999997
336.0,3.9000000000000004,-21.613706632828073,100309964.64338566,0.39999999999999997
336.0,4.0,-21.813706632828072,100312837.34808883,0.39999999999999997
336.0,4.1000000000000005,-22.013706632828075,100315710.13506131,0.39999999999999997
336.0,4.2,-22.21370663282807,100318583.00430545,0.39999999999999997
336.0,4.3,-22.413706632828074,100321455.95582364,0.39999999999999997
336.0,4.4,-22.613706632828073,100324328.98961821,0.39999999999999997
336.0,4.5,-22.813706632828072,100327202.10569152,0.39999999999999997
336.0,4.6000000000000005,-23.013706632828075,100330075.30404595,0.39999999999999997
336.0,4.7,-23.21370663282807,100332948.5846838,0.39999999999999997
336.0,4.800000000000001,-23.413706632828074,100335821.94760749,0.39999999999999997
336.0,4.9,-23.613706632828073,100338695.39281932,0.39999999999999997
336.0,5.0,-23.813706632828072,100341568.92032169,0.39999999999999997
336.0,5.1000000000000005,-24.013706632828075,100344442.53011695,0.39999999999999997
336.0,5.2,-24.21370663282807,100347316.22220743,0.39999999999999997
336.0,5.300000000000001,-24.413706632828074,100350189.9965955,0.39999999999999997
336.0,5.4,-24.613706632828073,100353063.85328355,0.39999999999999997
336.0,5.5,-24.813706632828072,100355937.7922739,0.39999999999999997
336.0,5.6000000000000005,-25.013706632828075,100358811.81356889,0.39999999999999997
336.0,5.7,-25.21370663282807,100361685.91717091,0.39999999999999997
336.0,5.800000000000001,-25.413706632828074,100364560.10308233,0.39999999999999997
336.0,5.9,-25.613706632828073,100367434.37130547,0.39999999999999997
336.0,6.0,-25.813706632828072,100370308.72184272,0.39999999999999997
336.0,6.1000000000000005,-26.013706632828075,100373183.1546964,0.39999999999999997
336.0,6.2,-26.21370663282807,100376057.6698689,0.39999999999999997
336.0,6.300000000000001,-26.413706632828074,100378932.26736256,0.39999999999999997
336.0,6.4,-26.613706632828073,100381806.94717975,0.39999999999999997
336.0,6.5,-26.813706632828072,100384681.70932283,0.39999999999999997
336.0,6.6000000000000005,-27.013706632828075,100387556.55379412,0.39999999999999997
336.0,6.7,-27.21370663282807,100390431.48059604,0.39999999999999997
336.0,6.800000000000001,-27.413706632828074,100393306.48973088,0.39999999999999997
336.0,6.9,-27.613706632828073,100396181.58120108,0.39999999999999997
336.0,7.0,-27.813706632828072,100399056.7550089,0.39999999999999997
336.0,7.1000000000000005,-28.013706632828075,100401932.01115677,0.39999999999999997
336.0,7.2,-28.21370663282807,100404807.34964703,0.39999999999999997
336.0,7.300000000000001,-28.413706632828074,100407682.77048202,0.39999999999999997
336.0,7.4,-28.613706632828073,100410558.27366415,0.39999999999999997
336.0,7.5,-28.813706632828072,100413433.8591957,0.39999999999999997
336.0,7.6000000000000005,-29.013706632828075,100416309.52707908,0.39999999999999997
336.0,7.7,-29.21370663282807,100419185.27731663,0.39999999999999997
336.0,7.800000000000001,-29.413706632828074,100422061.10991074,0.39999999999999997
336.0,7.9,-29.613706632828073,100424937.02486372,0.39999999999999997
336.0,8.0,-29.813706632828072,100427813.02217798,0.39999999999999997
337.0,0.0,-14.38070876390843,100205516.29059511,0.39999999999999997
337.0,0.1,-14.58070876390843,100208377.48848544,0.39999999999999997
337.0,0.2,-14.78070876390843,100211238.76807237,0.39999999999999997
337.0,0.30000000000000004,-14.98070876390843,100214100.12935828,0.39999999999999997
337.0,0.4,-15.18070876390843,100216961.57234548,0.39999999999999997
337.0,0.5,-15.38070876390843,100219823.09703632,0.39999999999999997
